"";"Residency";"Gender";"Age";"Year";"Number of residence"
"691";"Viken";"Mann";"70-89";"X2014";49202
"692";"Viken";"Mann";"70-89";"X2015";51969
"693";"Viken";"Mann";"70-89";"X2016";54677
"694";"Viken";"Mann";"70-89";"X2017";58316
"695";"Viken";"Mann";"70-89";"X2018";61469
"696";"Viken";"Mann";"70-89";"X2019";64335
"697";"Viken";"Mann";"90+";"X2012";2047
"698";"Viken";"Mann";"90+";"X2013";2219
"699";"Viken";"Mann";"90+";"X2014";2356
"700";"Viken";"Mann";"90+";"X2015";2478
"701";"Viken";"Mann";"90+";"X2016";2612
"702";"Viken";"Mann";"90+";"X2017";2744
"703";"Viken";"Mann";"90+";"X2018";2784
"704";"Viken";"Mann";"90+";"X2019";2911
